(+ (ln x) (ln y))	(ln (* x y))
(pow 2 (* 2 x))	(pow 4 x)
(pow 2 (* 3 x))	(pow 8 x)
(* (pow x 2) (* x (pow x 3)))	(pow x 6)
(/ (* (pow x 5) (pow y 2)) (* (pow x 2) y))	(* (pow x 3) y)
(* 8 (* (pow x 3) (pow y 3)))	(pow (* 2 (* x y)) 3)
(sqrt (/ (pow x 4) (pow y 2)))	(/ (pow x 2) y)
(pow (/ 1 (pow x 2)) 3)	(pow x -6)
(/ (pow x 0.5) (pow x 2))	(pow x -1.5)
(* (pow x (/ 1 3)) (pow x (/ 1 6)))	(sqrt x)
(* (sqrt x) (pow x (/ 1 6)))	(pow x (/ 2 3))
(pow (pow x 6) (/ 1 3))	(pow x 2)
(sqrt (sqrt (pow x 4)))	x
(pow (* 27 (pow x 3)) (/ 1 3))	(* 3 x)
(sqrt (* (pow a 2) (pow b 2)))	(* a b)
(/ 1 (pow (sqrt x) 4))	(pow x -2)
(sqrt (* x (sqrt x)))	(pow x 0.75)
(sqrt (sqrt (pow x 3)))	(pow x 0.75)
(pow (sqrt x) 3)	(pow x 1.5)
(* x (sqrt x))	(pow x 1.5)
(sqrt (pow x 5))	(pow x 2.5)
(/ x (sqrt x))	(sqrt x)
(sqrt (* 9 (pow x 2)))	(* 3 x)
(sqrt (pow (* x y) 2))	(* x y)
(sqrt (* (pow x 6) (pow y 2)))	(* (pow x 3) y)
(sqrt (/ (pow x 2) y))	(/ x (sqrt y))
(pow (/ 1 x) -2)	(pow x 2)
(pow (/ x y) -1)	(/ y x)
(* (pow x -1) (pow y -1))	(/ 1 (* x y))
(sqrt (* (pow x 2) y))	(* x (sqrt y))
(+ (log 10 6) (log 10 3))	(log 10 18)
(+ (log 10 (* 4 x)) (log 10 x))	(log 10 (* 4 (pow x 2)))
(+ (+ (log 10 a) (log 10 (pow b 2))) (log 10 (pow c 3)))	(log 10 (* (* a (pow b 2)) (pow c 3)))
(- (log 10 6) (log 10 3))	(log 10 2)
(- (log 10 (* 4 x)) (log 10 x))	(log 10 4)
(* 3 (log 10 5))	(log 10 125)
(* 5 (ln (pow x 4)))	(* 20 (ln x))
(* 3 (ln 10))	(ln 1000)
(- (* 3 (log 10 x)) (log 10 (pow x 2)))	(log 10 x)
(log 10 (pow x (/ 1 3)))	(/ (log 10 x) 3)
(+ (* 6 (log 10 u)) (* 6 (log 10 v)))	(log 10 (pow (* u v) 6))
(+ (log 10 a) (* 5 (log 10 b)))	(log 10 (* a (pow b 5)))
(- (log 10 6) (log 10 5))	(log 10 (/ 6 5))
(+ (log 10 12) (log 10 5))	(log 10 60)
(- (log 10 12) (log 10 11))	(log 10 (/ 12 11))
(- (* 6 (log 10 u)) (* 6 (log 10 v)))	(log 10 (pow (/ u v) 6))
(+ (* 4 (log 10 x)) (* 4 (log 10 y)))	(log 10 (pow (* x y) 4))
(+ (log b 8) (log b k))	(log b (* 8 k))
(+ (* 4 (log 10 x)) (* 7 (log 10 y)))	(log 10 (* (pow x 4) (pow y 7)))
(+ (+ (* 15 (log 10 x)) (* 13 (log 10 y))) (* 19 (log 10 z)))	(log 10 (* (* (pow x 15) (pow y 13)) (pow z 19)))
(+ (+ (* -2 (ln a)) (* -4 (ln b))) (* 5 (ln c)))	(ln (/ (pow c 5) (* (pow a 2) (pow b 4))))
(- (* 3 (log 10 x)) (* 4 (log 10 y)))	(log 10 (/ (pow x 3) (pow y 4)))
(+ (ln y) (* 0.5 (- (ln y) (ln (- 1 y)))))	(ln (* y (sqrt (/ y (- 1 y)))))
(log 10 (/ (* (pow x 2) (pow y 3)) (pow (* (pow x 2) (pow y 5)) (/ 1 3))))	(* (/ 4 3) (log 10 (* x y)))
(- (+ (log 2 (pow x 2)) (* 0.5 (log 2 (- x 1)))) (* 3 (log 2 (pow (+ x 3) 2))))	(log 2 (/ (* (pow x 2) (sqrt (- x 1))) (pow (+ x 3) 6)))
(+ (- (+ (log 10 5) (* 0.5 (log 10 x))) (log 10 (- (* 7 x) 1))) (* 3 (log 10 (- x 1))))	(log 10 (/ (* (* 5 (sqrt x)) (pow (- x 1) 3)) (- (* 7 x) 1)))
(* 4 (- (+ (* 3 (log 10 x)) (log 10 (+ x 5))) (log 10 (+ (* 2 x) 3))))	(log 10 (/ (* (pow x 12) (pow (+ x 5) 4)) (pow (+ (* 2 x) 3) 4)))
(+ (+ (ln 7) (ln x)) (ln y))	(ln (* (* 7 x) y))
(+ (+ (+ (log 3 2) (log 3 a)) (log 3 11)) (log 3 b))	(log 3 (* (* 22 a) b))
(- (log b 28) (log b 7))	(log b 4)
(- (- (ln a) (ln d)) (ln c))	(ln (/ a (* d c)))
(* -1 (log b (/ 1 7)))	(log b 7)
(/ (ln 8) 3)	(ln 2)
(+ (log 10 (* 2 (pow x 4))) (log 10 (* 3 (pow x 5))))	(log 10 (* 6 (pow x 9)))
(- (ln (* 6 (pow x 9))) (ln (* 3 (pow x 2))))	(ln (* 2 (pow x 7)))
(+ (* 2 (log 10 x)) (* 3 (log 10 (+ x 1))))	(log 10 (* (pow x 2) (pow (+ x 1) 3)))
(+ (- (log 10 x) (* 0.5 (log 10 y))) (* 3 (log 10 z)))	(log 10 (/ (* x (pow z 3)) (sqrt y)))
(+ (+ (* 4 (log 7 c)) (/ (log 7 a) 3)) (/ (log 7 b) 3))	(log 7 (* (pow c 4) (pow (* a b) (/ 1 3))))
(- (+ (+ (log 6 64) (* 3 (log 6 x))) (log 6 (+ (* 4 x) 1))) (log 6 (- (* 2 x) 1)))	(log 6 (/ (* (* 64 (pow x 3)) (+ (* 4 x) 1)) (- (* 2 x) 1)))
(- (+ (ln (- x 1)) (* 2 (ln (+ (* 2 x) 1)))) (ln (- (pow x 2) 9)))	(ln (/ (* (- x 1) (pow (+ (* 2 x) 1) 2)) (- (pow x 2) 9)))
(- (+ (+ (log 2 15) (log 2 x)) (log 2 (- x 1))) (+ (log 2 (+ (* 3 x) 4)) (log 2 (- 2 x))))	(log 2 (/ (* (* 15 x) (- x 1)) (* (+ (* 3 x) 4) (- 2 x))))
(+ (log 5 8) (log 5 y))	(log 5 (* 8 y))
(+ (log 4 6) (log 4 x))	(log 4 (* 6 x))
(+ (+ (log 3 81) (log 3 x)) (log 3 y))	(log 3 (* (* 81 x) y))
(+ (+ (log 2 32) (log 2 x)) (log 2 y))	(log 2 (* (* 32 x) y))
(ln (/ (pow e 4) 16))	(- 4 (ln 16))
(ln (/ (pow e 3) 3))	(- 3 (ln 3))
(log 5 (pow x (/ 1 3)))	(/ (log 5 x) 3)
(/ (log 4 x) 2)	(log 4 (sqrt x))
(+ (+ (log 2 3) (* 5 (log 2 x))) (* 3 (log 2 y)))	(log 2 (* (* 3 (pow x 5)) (pow y 3)))
(+ (+ (log 5 4) (* 6 (log 5 x))) (* 4 (log 5 y)))	(log 5 (* (* 4 (pow x 6)) (pow y 4)))
(+ (/ (log 3 2) 2) (* 2 (log 3 x)))	(log 3 (* (sqrt 2) (pow x 2)))
(+ (/ (log 5 21) 4) (* 3 (log 5 y)))	(log 5 (* (pow 21 0.25) (pow y 3)))
(+ (log 6 36) (* 4 (log 6 (+ x y))))	(log 6 (* 36 (pow (+ x y) 4)))
(ln (* (pow e 4) (pow (- x y) 3)))	(+ 4 (* 3 (ln (- x y))))
(+ (log 7 2) (/ (+ (log 7 x) (log 7 y)) 2))	(log 7 (* 2 (sqrt (* x y))))
(+ (+ (ln 2) (ln x)) (* 0.5 (ln y)))	(ln (* (* 2 x) (sqrt y)))
(* 0.5 (- (* 3 (log 10 x)) (* 4 (log 10 y))))	(log 10 (sqrt (/ (pow x 3) (pow y 4))))
(log 5 (pow (* (* 125 x) (pow y 3)) (/ 1 3)))	(+ (+ 1 (/ (log 5 x) 3)) (log 5 y))
(ln (* a (pow b (/ 1 3))))	(+ (ln a) (/ (ln b) 3))
(- (+ (+ (+ (log 5 4) (log 5 a)) (* 3 (log 5 b))) (* 4 (log 5 c))) (* 2 (log 5 d)))	(log 5 (/ (* (* (* 4 a) (pow b 3)) (pow c 4)) (pow d 2)))
(- (+ (log 3 x) (* 2 (log 3 y))) (* 2 (log 3 z)))	(log 3 (/ (* x (pow y 2)) (pow z 2)))
(- (log 2 x) (* 2 (log 2 y)))	(log 2 (/ x (pow y 2)))
(- (* 3 (log 3 x)) (+ (log 3 y) (* 2 (log 3 z))))	(log 3 (/ (pow x 3) (* y (pow z 2))))
(- (log 10 x) (+ (* 3 (log 10 y)) (* 2 (log 10 z))))	(log 10 (/ x (* (pow y 3) (pow z 2))))
(* -1 (+ (+ (* 2 (log 5 x)) (log 5 y)) (log 5 z)))	(log 5 (/ 1 (* (* (pow x 2) y) z)))
(- (+ 2 (* 3 (log 10 x))) (* 3 (log 10 (+ y 10))))	(log 10 (/ (* 100 (pow x 3)) (pow (+ y 10) 3)))
(ln (/ 1 (* 4 (exp k))))	(* -1 (+ (ln 4) k))
(ln (/ (* 9 (pow e 5)) (* 4 b)))	(+ (ln 2.25) (- 5 (ln b)))
(- (+ (* 15 (log 10 x)) (* 13 (log 10 y))) (* 19 (log 10 z)))	(log 10 (/ (* (pow x 15) (pow y 13)) (pow z 19)))
(- (- (/ (* 2 (log 3 x)) 3) 3) (* 4 (log 3 y)))	(log 3 (/ (pow x (/ 2 3)) (* 27 (pow y 4))))
(- (- (/ (log 4 x) 2) 2) (* 4 (log 4 y)))	(log 4 (/ (sqrt x) (* 16 (pow y 4))))
(- (/ (log 2 (+ (* 2 x) (pow y 2))) 2) (+ 3 (* 2 (log 2 z))))	(log 2 (/ (sqrt (+ (* 2 x) (pow y 2))) (* 8 (pow z 2))))
(- (/ (log 3 (+ (* 3 x) (* 2 (pow y 2)))) 2) (+ (log 3 5) (* 2 (log 3 z))))	(log 3 (/ (sqrt (+ (* 3 x) (* 2 (pow y 2)))) (* 5 (pow z 2))))
(/ (- (+ (log 5 3) (* 2 (log 5 x))) (+ (log 5 4) (+ (* 3 (log 5 y)) (log 5 z)))) 3)	(log 5 (pow (/ (* 3 (pow x 2)) (* (* 4 (pow y 3)) z)) (/ 1 3)))
(/ (- (+ (log 2 5) (* 3 (log 2 x))) (+ 1 (+ (* 2 (log 2 y)) (* 4 (log 2 z))))) 4)	(log 2 (pow (/ (* 5 (pow x 3)) (* (* 2 (pow y 2)) (pow z 4))) 0.25))
(- (+ (* 2 (log 3 x)) (/ (log 3 y) 3)) (log 3 z))	(log 3 (/ (* (pow x 2) (pow y (/ 1 3))) z))
(- (log 7 x) (* (/ 3 5) (log 7 (+ y z))))	(log 7 (/ x (pow (+ y z) (/ 3 5))))
(- (* 3 (log 5 x)) (/ (+ (log 5 y) (* 2 (log 5 z))) 3))	(log 5 (/ (pow x 3) (pow (* y (pow z 2)) (/ 1 3))))
(- (* 2 (log 10 x)) (/ (+ (* 3 (log 10 y)) (* 2 (log 10 z))) 5))	(log 10 (/ (pow x 2) (pow (* (pow y 3) (pow z 2)) (/ 1 5))))
(ln (/ 6 (sqrt (pow e 3))))	(- (ln 6) 1.5)
(- (/ (+ (log 4 x) (log 4 y)) 3) (log 4 64))	(log 4 (/ (pow (* x y) (/ 1 3)) 64))
(+ (log 6 4) (log 6 9))	2
(+ (log 10 4) (log 10 25))	2
(- (log 2 80) (log 2 5))	4
(- (log 3 36) (log 3 4))	2
(- (log 2 5) (log 2 (- x 1)))	(log 2 (/ 5 (- x 1)))
(+ (log 3 4) (log 3 (+ x 1)))	(log 3 (+ (* 4 x) 4))
(- (- (log 5 2) (log 5 x)) (log 5 y))	(log 5 (/ 2 (* x y)))
(- (+ (log 7 3) (log 7 x)) (log 7 y))	(log 7 (/ (* 3 x) y))
(+ (log 10 (+ x 1)) (log 10 (- x 1)))	(log 10 (- (pow x 2) 1))
(+ (log 2 (+ x 2)) (log 2 (+ x 1)))	(log 2 (* (+ x 2) (+ x 1)))
(- (ln (+ (+ (pow x 2) (* 2 x)) 1)) (ln (+ x 1)))	(ln (+ x 1))
(- (ln (- (pow x 2) 9)) (ln (+ x 3)))	(ln (- x 3))
(- (log 5 (- (pow x 3) 8)) (log 5 (- x 2)))	(log 5 (+ (+ (pow x 2) (* 2 x)) 4))
(- (log 3 (+ (pow x 3) 1)) (log 3 (+ x 1)))	(log 3 (+ (- (pow x 2) x) 1))
(- (+ (log 10 (+ (* 2 x) 1)) (log 10 (- x 3))) (log 10 (- (- (* 2 (pow x 2)) (* 5 x)) 3)))	0
(+ (* 6 (log 3 x)) (* 9 (log 3 y)))	(log 3 (* (pow x 6) (pow y 9)))
(- (* 4 (log 2 x)) (* 6 (log 2 y)))	(log 2 (/ (pow x 4) (pow y 6)))
(+ (/ (log 2 x) 3) (* (/ 2 3) (log 2 y)))	(log 2 (pow (* x (pow y 2)) (/ 1 3)))
(+ (* -2 (log 5 x)) (* (/ 3 5) (log 5 y)))	(log 5 (/ (pow y (/ 3 5)) (pow x 2)))
(+ (log 10 5) (* 3 (log 10 (+ x y))))	(log 10 (* 5 (pow (+ x y) 3)))
(+ (* 4 (log 5 (+ x 5))) (log 5 y))	(log 5 (* (pow (+ x 5) 4) y))
(+ (* 2 (log 10 (+ (* 2 x) 3))) (* 0.5 (log 10 (+ x 1))))	(log 10 (* (pow (+ (* 2 x) 3) 2) (sqrt (+ x 1))))
(- (* (/ 1 3) (log 10 x)) (* 3 (log 10 (+ x 1))))	(log 10 (/ (pow x (/ 1 3)) (pow (+ x 1) 3)))
(- (* (/ 2 3) (log 3 x)) (* 0.5 (+ (log 3 y) (log 3 z))))	(log 3 (/ (pow x (/ 2 3)) (sqrt (* y z))))
(- (log 3 (- (pow x 2) 1)) (* 2 (log 3 (- x 1))))	(log 3 (/ (+ x 1) (- x 1)))
(- (log 10 (+ (+ (pow x 2) (* 2 x)) 1)) (* 2 (log 10 (+ x 1))))	0
(- (* (/ 1 3) (+ (ln x) (* 2 (ln y)))) (+ (* 3 (ln 2)) (ln z)))	(ln (/ (pow (* x (pow y 2)) (/ 1 3)) (* 8 z)))
(- (+ (* 3 (ln x)) (* 4 (ln y))) (* 2 (ln z)))	(ln (/ (* (pow x 3) (pow y 4)) (pow z 2)))
(- (- (* 4 (log 10 x)) (* 2 (log 10 y))) (* 3 (log 10 z)))	(log 10 (/ (pow x 4) (* (pow y 2) (pow z 3))))
(+ (+ (log 2 5) (* 2 (log 2 x))) (log 2 y))	(log 2 (* (* 5 (pow x 2)) y))
(+ (+ (log 3 4) (* 3 (log 3 x))) (* 0.5 (log 3 y)))	(log 3 (* (* 4 (pow x 3)) (sqrt y)))
(+ (- (* 3 (log 2 x)) (* 2 (log 2 y))) (* 0.5 (log 2 z)))	(log 2 (/ (* (pow x 3) (sqrt z)) (pow y 2)))
(- (+ (* 4 (log 10 2)) (* (/ 2 3) (log 10 x))) (* 4 (log 10 (+ y z))))	(log 10 (/ (* 16 (pow x (/ 2 3))) (pow (+ y z) 4)))
(+ (- (ln x) (* 6 (ln y))) (ln z))	(ln (/ (* x z) (pow y 6)))
(+ (- (log 3 x) (* 2 (log 3 y))) (* 5 (log 3 z)))	(log 3 (/ (* x (pow z 5)) (pow y 2)))
(- (- (* 7 (log 10 x)) (log 10 y)) (* 2 (log 10 z)))	(log 10 (/ (pow x 7) (* y (pow z 2))))
(- (- (* 2 (ln x)) (* 3 (ln y))) (ln z))	(ln (/ (pow x 2) (* (pow y 3) z)))
(- (+ 1 (log 2 x)) (* 0.5 (log 2 y)))	(log 2 (/ (* 2 x) (sqrt y)))
(+ (- 2 (* 3 (log 3 x))) (* (/ 1 3) (log 3 y)))	(log 3 (/ (* 9 (pow y (/ 1 3))) (pow x 3)))
(- (+ (* -1 (ln 2)) (* 2 (ln (+ x y)))) (ln z))	(ln (/ (pow (+ x y) 2) (* 2 z)))
(+ (- (* -3 (ln (- x y))) (ln z)) (ln 5))	(ln (/ 5 (* z (pow (- x y) 3))))
(- (+ (- (log 2 3) (* 2 (log 2 x))) (* 0.5 (log 2 y))) (* 4 (log 2 z)))	(log 2 (/ (* 3 (sqrt y)) (* (pow x 2) (pow z 4))))
(+ (- (- (* 2 (log 5 4)) (log 5 x)) (* 3 (log 5 y))) (* (/ 2 3) (log 5 z)))	(log 5 (/ (* 16 (pow z (/ 2 3))) (* x (pow y 3))))
(- (- (* 4 (log 10 x)) (log 10 y)) (log 10 2))	(log 10 (/ (pow x 4) (* 2 y)))
(+ (log 3 9) (* 2 (log 3 x)))	(log 3 (* 9 (pow x 2)))
(+ (log 2 32) (* 7 (log 2 x)))	(log 2 (* 32 (pow x 7)))
(+ (log 10 100) (* 2 (log 10 x)))	(log 10 (* 100 (pow x 2)))
(+ (+ 1 (* 2 (log 10 x))) (* 3 (log 10 y)))	(log 10 (* (* 10 (pow x 2)) (pow y 3)))
(+ (+ 1 (* 4 (log 2 x))) (* 5 (log 2 y)))	(log 2 (* (* 2 (pow x 4)) (pow y 5)))
(+ (+ (log b 14) (log b x)) (log b y))	(log b (* (* 14 x) y))
(+ (+ (ln 15) (ln a)) (+ (ln b) (ln c)))	(ln (* (* (* 15 a) b) c))
(- (- (log 4 x) (log 4 z)) (log 4 w))	(log 4 (/ (/ x z) w))
(- (+ (log 10 2) (* 3 (log 10 (+ x y)))) (* 2 (log 10 z)))	(log 10 (/ (* 2 (pow (+ x y) 3)) (pow z 2)))
(* -1 (+ (+ 2 (* 2 (log 4 x))) (* 3 (log 4 z))))	(log 4 (/ 1 (* (* 16 (pow x 2)) (pow z 3))))
(pow 3 (log 3 6))	6
(log 2 (pow 2 7))	7
(pow 5 (log 5 10))	10
(log 4 (pow 4 10))	10
(pow 8 (log 8 7))	7
(log 6 (pow 6 -2))	-2
(pow 10 (log 10 (sqrt 5)))	(sqrt 5)
(log 10 (pow 10 -2))	-2
(exp (ln 4))	4
(ln (pow e 2))	2
(ln (pow e 7))	7
(- (log 5 125) (log 5 x))	(log 5 (/ 125 x))
(- (log 4 16) (log 4 y))	(log 4 (/ 16 y))
(- (log 10 10000) (log 10 y))	(log 10 (/ 10000 y))
(- (log 10 x) (log 10 10))	(log 10 (/ x 10))
(- (log 3 3) (log 3 8))	(log 3 (/ 3 8))
(+ (log 10 6) (log 10 7))	(log 10 42)
(+ (log 10 5) (log 10 11))	(log 10 55)
(+ (log 10 7) (log 10 8))	(log 10 56)
(- (log 10 2) (log 10 3))	(log 10 (/ 2 3))
